# addr	len	jp	ko  ('/'=페이지 구분, 한 페이지 = 한 줄 최대 17음절)
03344F	28	ま<50>てろよ、ハツ゛キ<8A>{개행}かならす゛たすけてやるからな<8A><8A>	하즈키 기다려라 반드시 구한다
03346C	66	ここに いたか。{대기}{끝}この あに<47> てきにしてて゛も{개행}いくのか、、、おまえは。{대기}{끝}、、、よかろう。こんかいた゛けは{개행}みのか゛してやる。	여기 있었나/이 형을 적으로 두고 갈 셈이냐/좋다 이번만은 못 본 척해주마
0334AF	12	すまねえ、あにき、、、。	미안하오 형님
0334BC	27	おろかものめ、、、。 いまこ゛ろ{개행}と゛こに いるのか。	어리석은 놈 지금쯤 어디 있느냐
0334D8	56	あにき、、、。{개행}おれは また゛かえらねえからな。{대기}{끝}ハツ゛キ<47> たすけるまて゛は{개행}もと゛らねえと きめたんた゛<8A>	형님 저는 아직 못 돌아가오/하즈키를 구하기 전엔 못 가오
033511	20	と゛こまて゛も せわ<47>{개행}かける やつめ。	끝까지 손이 가는 녀석이로군
033526	26	きにいらねえな。{개행}いやな き か゛ あふれてるせ゛。	맘에 안 드는군/역한 기운이 넘쳐흐른다
033541	41	ここて゛ なに<47> している<91>{대기}{끝}きさまの てには おえん。{개행}おとなしく みていろ。	여기서 무엇을 하느냐/네 손에 감당될 일이 아니다/얌전히 지켜보아라
03356B	16	か<50>てなこと<47> いいやか゛<50>て<8A>	멋대로 지껄이는군
03357C	16	、、、きにいらん けはいた゛<8A><8A>	…거슬리는 기운이군
03358D	58	け゛んし゛<4E>うろう<8A><8A>{개행}なんて゛てめえか゛ここに<91><8A>{대기}{끝}、、、き<47>つけろ。 ここは{개행}いやな き か゛あふれてるせ゛<8A>	겐쥬로 네놈이 왜 여기에/조심해라 역한 기운이 넘친다
0335C8	23	フン<8A> おまえも ヤツも{개행}、、、コロしてやる。	흥 너도 그놈도 죽여주마
0335E0	16	しせ゛んか゛ ないている、、、<8A>	자연이 울고 있어…
0335F1	57	フン<8A> このよは は゛けものに{개행}みいられたか。{대기}{끝}こむすめ ひとりに なにか゛{개행}て゛きるか たのしみな ことた゛。	흥 이 세상은 마물에 홀렸는가/계집아이 하나가 무엇을 할까/구경거리로군
03362B	30	この し゛<4D>あくな けはい、、、{개행}、、、まさか あまくさ<91><8A>	이 사악한 기운은…/설마 아마쿠사인가
03364A	23	なんた゛ろう<91>{개행}いやな よかんか゛する、、、。	무엇일까 불길한 예감이 든다
033662	35	そこの こむすめ<8A><8A>{대기}{끝}いのちか゛おしけれは゛{개행}さ<50>さと たちされ<8A><8A>	거기 계집아이/목숨이 아깝거든 썩 물러가라
033686	33	あたしも しせ゛ん<47> まもる<8A><8A>{개행}た゛れにも まけないんた゛から<8A>	나도 자연을 지킬 거야/누구에게도 지지 않아
0336A8	31	この まか゛まか゛しい き は{개행}いせ゛ん と゛こかて゛、、、。	이 불길한 기운은/예전에 어디선가…
0336C8	87	はんそ゛う<8A> おぬしも{개행}きて お<50>たか<8A><8A>{대기}{끝}この き は いす゛れ よに{개행}わさ゛わい<47> もたらそうそ゛。{대기}{끝}し゛<4D>あくの こんけ゛ん この{개행}カタナて゛ かりと<50>てくれるわ<8A>	한조 그대도 와 있었는가/이 기운 머잖아 재앙을 부르리라/사악의 근원 이 칼로 베어내리라
033720	16	われも まいらん<8A><8A>{개행}いさ゛<8A><8A>	나도 물러설 수 없다 간다
033731	27	むなさわき゛か゛する。{개행}それに あのしろは い<50>たい<91>	가슴이 술렁인다 저 성은 대체
03374D	87	ほう<8A> おぬしも{개행}かんし゛て お<50>たか<8A><8A>{대기}{끝}この き は いす゛れ よに{개행}わさ゛わい<47> もたらそうそ゛。{대기}{끝}し゛<4D>あくの こんけ゛ん この{개행}カタナて゛ かりと<50>てくれるわ<8A>	호오 그대도 느꼈는가/이 기운 머잖아 재앙을 부르리라/사악의 근원 이 칼로 베어내리라
0337A5	5	いくせ゛<8A>	간다
0337AB	25	あの しろ、、、ほ゛くは{개행}あそこに いかなくち<4D>。	저 성… 난 저기로 가야 해
0337C5	50	よお、ほ゛うす゛<8A>{개행}おめえも きてたのか。{대기}{끝}き<47>つけろ<8A> と゛うも あの{개행}しろ は うさんくせえ。	이봐 꼬마 너도 왔었나/조심해라 저 성은 수상쩍다
0337F8	28	ああ、、、て゛も ほ゛くは{개행}いかなくち<4D>いけないんた゛。	응… 그래도 난 가야만 해
033815	29	いまわしくも なつかしき あの{개행}しろか゛ なせ゛、、、<91><8A>	꺼림칙하고 그리운 저 성 어째서
033833	75	きさま、あまくさ<91><8A>{대기}{끝}しかし、いまの おぬしは{개행}し゛<4D>き<47> まと<50>ては おらぬ。{대기}{끝}まあよい。 いまは あのしろへ{개행}むかうか゛ せ<50>し<4D>の にんむ。	네 이놈 아마쿠사냐/허나 그대에겐 사기가 없구나/좋다 지금은 저 성이 먼저다
03387F	49	われ て゛はない われ よ。{대기}{끝}おまえの うみた゛す なみかせ゛{개행}われか゛うけるは めいわくなり<8A>	나는 내가 아니니라/그대가 일으킨 파란 성가실 따름
0338B1	27	この よ に われと おなし゛{개행}き <47> まとう とは<91>	이 세상에 나와 같은 기운이라니
0338CD	41	あなたの その き{개행}いや、まさか、、、。{대기}{끝}<91><8A><8A>{대기}{끝}、、、そんなはす゛か゛ない。	당신의 그 기운 아니 설마…/…!/그럴 리가 없어
0338F7	7	、、、、、、。	……
0338FF	28	あらしふき えんし゛<4D>く{개행}とは゛す゛ ふゆのそら、、、。	폭풍 불어 새도 날지 않는/겨울 하늘이여…
03391C	53	よお<8A> うき<4F>う<8A>{개행}おめえも きてたのか。{대기}{끝}、、、き<47>つけろ。 ここは{개행}いやな き か゛あふれてるせ゛<8A>	이봐 우쿄 너도 왔었나/조심해라 역한 기운이 넘친다
033952	7	、、、、、、。	……
03395A	19	まさか まことのことて゛{개행}あ<50>たとは<8A>	설마 진짜였을 줄이야
03396E	93	し゛<4E>うへ゛いと゛の、、、。{대기}{끝}きて゛ん にも かんし゛て{개행}こ゛さ゛ろう。{대기}{끝}たえす゛ なか゛れいす゛る{개행}し゛<4D>あくな き <47>、、、。{대기}{끝}ゆた゛ん めされるな<8A>{개행}しからは゛ こ゛めん<8A><8A>	쥬베이 공…/귀공도 느끼고 계실 터/끊임없이 흘러나오는 사악한 기운/방심 마시오 그럼 이만
0339CC	28	ふむ。 のこされた とき は{개행}わす゛か のようし゛<4D>の。	흠 남은 시간이 얼마 없구나
0339E9	24	ここに あの おとこか゛{개행}くるのて゛すね、、、。	여기로 그 사내가 오는군요…
